timestamp,pv_voltage_V,pv_current_A,pv_power_W,pv_status,battery_voltage_V,battery_current_A,battery_charge_power_W,battery_charge_set_W,battery_charge_voltage_V,battery_ovp_V,battery_uvp_V,grid_voltage_V,grid_current_A,grid_input_power_W,grid_charge_power_W,grid_freq_Hz,grid_status,output_switch,output_voltage_V,output_current_A,output_power_W,output_freq_Hz,temp_inverter_C,temp_boost_C,temp_transformer_C,fan_current_pct,fan_setpoint_pct,op_mode,inverter_on,ac_charging,bypassing,fault_active,faults,warnings,fault_code
2026-06-12T17:09:34.073611,0.0,0.0,0,Abnormal,43.6,0.0,0,36,0.0,8.0,25.8,13.2,0.38,40,0,6.42,Abnormal,0,0.0,0.0,0,0.0,4.0,0.8,0.0,0,24442,PV fault,0,0,0,0,,,0
2026-06-12T17:09:37.073644,0.0,0.0,0,Abnormal,25.0,0.0,0,36,0.0,60.0,26.0,211.2,0.06,1,1,43.59,Abnormal,0,0.0,0.0,0,0.0,4.0,0.8,0.0,0,21847,PV fault,0,0,0,0,,,0
2026-06-12T17:09:40.073712,0.0,0.0,0,Abnormal,34.2,0.0,0,32,0.0,8.8,26.0,211.2,0.06,1,1,43.59,Abnormal,0,0.0,0.0,0,0.0,4.0,27.3,0.0,0,21847,PV fault,0,1,0,0,,,0
2026-06-12T17:09:43.073792,0.0,0.0,0,Abnormal,34.1,0.0,0,68,51.2,8.0,26.2,6.8,0.34,1,1,43.59,Abnormal,0,0.0,0.0,0,0.0,4.2,27.2,0.0,0,21847,PV shutdown,0,1,0,0,,,0
2026-06-12T17:09:46.074022,0.2,0.0,0,Abnormal,34.0,0.0,0,100,0.0,8.8,39.0,218.0,0.05,5,42,44.88,Normal,0,0.0,0.0,0,0.0,4.2,28.2,0.0,0,32474,PV fault,0,1,0,0,,,0
2026-06-12T17:09:49.074109,0.2,0.0,0,Abnormal,46.8,0.0,52,68,51.2,60.0,38.8,19.6,0.04,51,34,6.48,Abnormal,0,0.0,0.0,0,0.0,29.2,26.6,0.0,0,32085,PV shutdown,0,0,0,0,,,0
2026-06-12T17:09:52.073993,0.2,0.0,0,Abnormal,49.0,0.0,0,68,0.0,8.0,26.0,224.1,0.04,32,32,6.48,Abnormal,0,0.0,0.0,0,0.0,29.2,28.0,0.0,0,-21766,State 0,0,1,0,0,,,0
2026-06-12T17:09:55.074126,0.2,0.0,0,Abnormal,24.6,0.0,0,100,0.0,59.2,13.0,13.8,0.04,5,37,44.82,Abnormal,0,0.0,0.0,0,0.0,30.0,1.9,0.0,0,-2731,PV fault,0,1,0,0,,,0
2026-06-12T17:09:58.074144,0.0,0.0,0,Abnormal,50.6,0.0,0,68,51.2,8.8,0.4,19.3,0.07,1,33,48.69,Normal,0,0.0,0.0,0,0.0,29.7,27.3,0.0,0,-2694,PV fault,0,1,0,0,,,0
2026-06-12T17:10:01.074204,0.2,0.0,0,Abnormal,34.0,0.0,0,100,0.0,52.0,13.0,211.3,0.06,42,32,44.88,Normal,0,0.0,0.0,0,0.0,30.5,27.3,0.0,0,21994,PV shutdown,0,0,0,0,,,0
